                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.414,                 2.4076,                 1.4098,                0.56414,                0.34115,                  0.333,                0.18972,                 1.4053,                 2.9813,                 1.5558,             0.00054921,             0.00054921,             0.00054921
                      2,                 1.3732,                 1.8183,                 1.3829,                0.69887,                0.59401,                 0.6897,                0.40038,                 1.4154,                 2.1247,                 1.5272,              0.0010502,              0.0010502,              0.0010502
                      3,                 1.4291,                 1.6841,                 1.3963,                0.61447,                0.48316,                0.50155,                0.26623,                 1.7662,                 2.5166,                 1.7228,              0.0014961,              0.0014961,              0.0014961
                      4,                 1.4316,                 1.5387,                 1.3865,                0.71736,                 0.6604,                0.72762,                0.37318,                 1.5702,                 1.9426,                  1.669,              0.0014195,              0.0014195,              0.0014195
                      5,                 1.3345,                 1.3433,                 1.3135,                0.72005,                0.70643,                 0.7574,                0.43316,                 1.4738,                 1.4194,                 1.5504,              0.0013369,              0.0013369,              0.0013369
                      6,                 1.3035,                 1.2451,                 1.3057,                0.76446,                0.68355,                0.76248,                0.44629,                 1.3971,                 1.1824,                 1.4642,              0.0012544,              0.0012544,              0.0012544
                      7,                 1.3102,                 1.1707,                 1.2832,                0.80223,                0.72912,                0.78849,                0.45183,                 1.2661,                 1.1487,                 1.3423,              0.0011719,              0.0011719,              0.0011719
                      8,                 1.2291,                 1.0946,                 1.2449,                0.81568,                0.70909,                0.78133,                0.45795,                 1.2985,                 1.1758,                 1.4045,              0.0010894,              0.0010894,              0.0010894
                      9,                 1.2174,                 1.0007,                 1.2448,                0.79909,                0.73789,                0.82652,                0.51811,                 1.2548,                0.99091,                 1.3251,              0.0010069,              0.0010069,              0.0010069
                     10,                 1.1976,                 1.0098,                 1.2317,                0.84899,                0.81826,                0.87325,                0.55632,                 1.2034,                0.85282,                 1.3005,             0.00092435,             0.00092435,             0.00092435
                     11,                 1.1357,                0.92916,                  1.228,                0.85133,                 0.7679,                0.86923,                0.58157,                 1.1255,                0.82437,                 1.2598,             0.00084184,             0.00084184,             0.00084184
                     12,                 1.1147,                0.84877,                 1.2338,                0.82968,                0.81068,                0.88088,                0.57094,                 1.1701,                0.80093,                 1.2934,             0.00075932,             0.00075932,             0.00075932
                     13,                  1.076,                0.81758,                 1.1903,                 0.8258,                0.82714,                0.88056,                0.57709,                 1.1317,                0.77813,                 1.2444,              0.0006768,              0.0006768,              0.0006768
                     14,                 1.0419,                0.73187,                 1.1696,                0.88957,                0.79423,                0.89122,                0.59015,                 1.1215,                0.71176,                 1.2274,             0.00059429,             0.00059429,             0.00059429
                     15,                 1.0164,                0.71852,                  1.155,                0.86565,                0.83288,                0.89463,                0.58793,                 1.1006,                 0.7203,                 1.2305,             0.00051177,             0.00051177,             0.00051177
                     16,                0.97725,                 0.6799,                 1.1325,                0.89784,                0.79812,                0.89709,                0.61041,                 1.0629,                0.66575,                 1.2123,             0.00042925,             0.00042925,             0.00042925
                     17,                0.95325,                0.64499,                 1.1183,                0.88513,                0.84198,                0.89871,                0.61317,                 1.0455,                0.63707,                 1.1892,             0.00034674,             0.00034674,             0.00034674
                     18,                0.92028,                0.60488,                 1.1015,                0.91518,                0.82238,                0.91261,                0.63813,                0.98957,                0.59092,                 1.1569,             0.00026422,             0.00026422,             0.00026422
                     19,                 0.8866,                0.58493,                 1.0742,                0.90019,                 0.8504,                0.91755,                0.63824,                0.98239,                0.56851,                 1.1552,              0.0001817,              0.0001817,              0.0001817
                     20,                0.86787,                 0.5472,                 1.0657,                0.91344,                0.84174,                0.91389,                0.64552,                0.98598,                0.55911,                 1.1548,             9.9187e-05,             9.9187e-05,             9.9187e-05
